scheduler;safe_oracles;use_case;use_idlesim;unsafe_oracles;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;probability_of_HI;min_period;max_period;timeout;is_safe;automaton_depth;visited_count;duration_ns
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;127;0.5;0.5022488690410207;5.0;1.0;0.5;5.0;150.0;False;True;33;375256;2747386519
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;131;0.5;0.4960839598997493;5.0;1.0;0.5;5.0;150.0;False;True;78;14585;37072809
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;56;0.5;0.5000232416198802;5.0;1.0;0.5;5.0;100.0;False;True;31;4014565;44397647966
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;99;0.5;0.4960772051917304;5.0;1.0;0.5;5.0;100.0;False;True;52;3668242;38502101745
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;128;0.5;0.4951002996719109;5.0;1.0;0.5;5.0;150.0;False;True;76;1301668;12288049146
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;40;0.5;0.499905303030303;5.0;1.0;0.5;5.0;50.0;False;True;28;4893372;50889226786
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;54;0.5;0.5013456310874385;5.0;1.0;0.5;5.0;100.0;False;True;74;5016087;51182949735
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;137;0.5;0.4957965161453533;5.0;1.0;0.5;5.0;150.0;False;True;22;1281;3958651
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;138;0.5;0.500704647676162;5.0;1.0;0.5;5.0;150.0;False;True;65;32457;104676645
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;132;0.5;0.4966132599284772;5.0;1.0;0.5;5.0;150.0;False;True;29;1579638;15481468222
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;134;0.5;0.4984054309511626;5.0;1.0;0.5;5.0;150.0;False;True;24;1041135;9929563411
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;126;0.5;0.504489831128033;5.0;1.0;0.5;5.0;150.0;False;True;29;2144654;23108672606
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;142;0.5;0.4961524024024024;5.0;1.0;0.5;5.0;150.0;False;True;9;704;2171661
